company_top5,title,location,avg_experience,avg_base_salary
AMAZON,"TECHNICAL PROGRAM MANAGER","San Jose, CA",15,183000
OTHERS,"HARDWARE ENGINEER","Menlo Park, CA",9.5,182892.85714285713
GOOGLE,"TECHNICAL PROGRAM MANAGER","San Bruno, CA",8,182500
OTHERS,"HUMAN RESOURCES","Charlotte, NC",20,182500
OTHERS,"SOFTWARE ENGINEERING MANAGER","Philadelphia, PA",15.4,182333.33333333334
OTHERS,"SOFTWARE ENGINEERING MANAGER","Cambridge, MA",9.75,182250
OTHERS,"TECHNICAL PROGRAM MANAGER","Los Angeles, CA",11.2,182200
ORACLE,"PRODUCT MANAGER","Seattle, WA",12.416666666666666,182083.33333333334
MICROSOFT,"SOFTWARE ENGINEER","Kirkland, WA",10,182000
APPLE,"PRODUCT DESIGNER","San Francisco, CA",6.25,182000
GOOGLE,"TECHNICAL PROGRAM MANAGER","Hamburg, HH, Germany",10,182000
OTHERS,"SOFTWARE ENGINEERING MANAGER","Santa Monica, CA",11.571428571428571,181857.14285714287
AMAZON,"TECHNICAL PROGRAM MANAGER","San Francisco, CA",20,181666.66666666666
OTHERS,"SOLUTION ARCHITECT","New York, NY",11.727272727272727,181636.36363636365
MICROSOFT,"PRODUCT DESIGNER","San Francisco, CA",7.25,181500
OTHERS,"TECHNICAL PROGRAM MANAGER","Mountain View, CA",9.5,181214.2857142857
AMAZON,"SOFTWARE ENGINEERING MANAGER","Cupertino, CA",12.6,181000
OTHERS,"TECHNICAL PROGRAM MANAGER","Redmond, WA",13.2,181000
OTHERS,"DATA SCIENTIST","Mill Valley, CA",7,181000
ORACLE,"SOFTWARE ENGINEERING MANAGER","Santa Clara, CA",21.166666666666668,180833.33333333334
OTHERS,"SOLUTION ARCHITECT","Jersey City, NJ",15.333333333333334,180666.66666666666
OTHERS,"SOFTWARE ENGINEERING MANAGER","St. Louis, MO",24,180500
OTHERS,"PRODUCT MANAGER","Cluj-Napoca, CJ, Romania",17,180000
AMAZON,"PRODUCT MANAGER","Santa Clara, CA",12,180000
AMAZON,"MANAGEMENT CONSULTANT","New York, NY",19.333333333333332,180000
AMAZON,"SOFTWARE ENGINEER","Berkeley, CA",6,180000
